                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2253,                  3.641,                 1.6903,                0.00867,                0.61905,                0.01176,                0.00316,                 2.5895,                 3.4791,                 1.9208,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.0324,                  3.275,                 1.5515,                0.01133,                0.80952,                0.38825,                0.08822,                 1.6451,                 3.2639,                 1.3843,             0.00021782,             0.00021782,             0.00021782
                      3,                 1.8111,                 1.9467,                 1.3453,                0.01333,                0.95238,                0.63626,                0.19631,                 1.5775,                 2.9303,                 1.2086,             0.00033327,             0.00033327,             0.00033327
                      4,                 1.7612,                   1.66,                 1.3038,                0.01333,                0.95238,                0.44597,                0.19755,                 1.5649,                 2.9143,                 1.1848,             0.00044634,             0.00044634,             0.00044634
                      5,                 1.7007,                 1.4846,                 1.2827,                0.01333,                0.95238,                 0.5842,                0.17458,                 1.5299,                 2.7801,                  1.188,             0.00055703,             0.00055703,             0.00055703
                      6,                 1.7174,                 1.4406,                 1.2907,                0.01333,                0.95238,                 0.2671,                0.11022,                 1.5457,                 2.8456,                 1.2081,             0.00066535,             0.00066535,             0.00066535
                      7,                 1.7793,                  1.526,                 1.3107,                0.01333,                0.95238,                 0.2791,                0.16016,                 1.4645,                 3.0011,                 1.2657,             0.00077129,             0.00077129,             0.00077129
                      8,                  1.745,                 1.4678,                  1.321,                  0.014,                      1,                0.41817,                0.25828,                 1.6476,                 2.8384,                  1.285,             0.00087486,             0.00087486,             0.00087486
                      9,                 1.8466,                  1.589,                 1.4165,                0.69551,                0.52381,                0.59089,                0.31761,                 1.7376,                 2.5432,                 1.2754,             0.00097605,             0.00097605,             0.00097605
                     10,                 1.6614,                  1.337,                 1.3079,                0.74442,                0.33333,                 0.7424,                0.33493,                 1.8855,                 2.2833,                 1.3361,              0.0010749,              0.0010749,              0.0010749
                     11,                 1.7128,                 1.4438,                 1.3367,                0.92414,                0.58062,                0.85867,                0.43349,                  1.594,                 2.0318,                 1.2259,              0.0011713,              0.0011713,              0.0011713
                     12,                 1.7561,                 1.4085,                  1.326,                0.82268,                0.52381,                0.80418,                0.45957,                 1.5763,                 1.9317,                 1.2501,              0.0012654,              0.0012654,              0.0012654
                     13,                 1.6998,                 1.3136,                  1.335,                0.84328,                0.51314,                0.81243,                0.44978,                 1.6847,                 1.9065,                 1.2608,               0.001357,               0.001357,               0.001357
                     14,                 1.6909,                 1.3188,                 1.3211,                0.94252,                0.78154,                0.91145,                0.44413,                 1.7778,                 1.7369,                 1.3359,              0.0014464,              0.0014464,              0.0014464
                     15,                 1.7097,                 1.2642,                 1.3058,                0.94972,                0.89964,                0.91225,                0.45914,                 1.7372,                 1.4906,                 1.3336,              0.0015333,              0.0015333,              0.0015333
                     16,                 1.6713,                 1.1982,                 1.3289,                0.91865,                0.57143,                0.74373,                0.37842,                 1.6993,                  1.841,                 1.3248,              0.0016179,              0.0016179,              0.0016179
                     17,                  1.745,                 1.2725,                  1.328,                0.88867,                0.57143,                 0.6486,                0.34551,                 1.6986,                 2.1309,                 1.3767,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6745,                  1.246,                 1.3221,                0.77966,                0.57143,                0.61053,                0.28992,                  1.771,                 2.1637,                  1.488,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.6167,                 1.1888,                 1.2999,                0.83287,                0.57143,                0.66959,                0.38093,                 1.6502,                 1.9505,                 1.4125,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.6685,                 1.2193,                 1.3229,                0.94276,                0.78504,                0.85494,                0.43944,                 1.7711,                 1.5122,                 1.3437,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.7086,                 1.1712,                 1.2943,                0.94377,                0.79968,                0.85889,                0.45601,                 1.7474,                 1.4621,                 1.3432,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.6625,                 1.1483,                 1.2934,                0.75063,                0.71429,                0.75953,                0.30203,                 2.0625,                 1.5983,                 1.5212,               0.001604,               0.001604,               0.001604
                     23,                 1.6752,                 1.1237,                 1.3189,                0.89036,                0.77386,                0.84994,                0.37268,                 1.9931,                 1.4161,                 1.4334,              0.0015842,              0.0015842,              0.0015842
